,beta,fracao_suscetiveis,fracao_infectados,fracao_recuperados,rede
0,0.0,0.999,0.001,0.001,BA_k=6
1,0.004081632653061225,0.99898,0.00102,0.00102,BA_k=6
2,0.00816326530612245,0.998951,0.001046,0.001049,BA_k=6
3,0.012244897959183675,0.998911,0.00108,0.001089,BA_k=6
4,0.0163265306122449,0.998891,0.001091,0.001109,BA_k=6
5,0.020408163265306124,0.998829,0.0011279999999999999,0.001171,BA_k=6
6,0.02448979591836735,0.998789,0.0011639999999999999,0.001211,BA_k=6
7,0.028571428571428574,0.9987480000000001,0.0011979999999999998,0.001252,BA_k=6
8,0.0326530612244898,0.998721,0.0011870000000000001,0.001279,BA_k=6
9,0.036734693877551024,0.998636,0.001253,0.0013640000000000002,BA_k=6
10,0.04081632653061225,0.9985689999999999,0.001305,0.001431,BA_k=6
11,0.04489795918367347,0.998401,0.001379,0.001599,BA_k=6
12,0.0489795918367347,0.998303,0.001405,0.0016970000000000002,BA_k=6
13,0.05306122448979592,0.998251,0.001459,0.0017490000000000001,BA_k=6
14,0.05714285714285715,0.998124,0.001469,0.0018759999999999998,BA_k=6
15,0.06122448979591837,0.998045,0.0015229999999999998,0.001955,BA_k=6
16,0.0653061224489796,0.997712,0.001599,0.0022879999999999997,BA_k=6
17,0.06938775510204082,0.997385,0.00174,0.002615,BA_k=6
18,0.07346938775510205,0.997414,0.0017310000000000001,0.0025859999999999998,BA_k=6
19,0.07755102040816328,0.997174,0.0018080000000000001,0.002826,BA_k=6
20,0.0816326530612245,0.996893,0.001928,0.0031070000000000004,BA_k=6
21,0.08571428571428572,0.996814,0.001903,0.003186,BA_k=6
22,0.08979591836734695,0.996202,0.002142,0.003798,BA_k=6
23,0.09387755102040818,0.995746,0.0022480000000000004,0.004254,BA_k=6
24,0.0979591836734694,0.9949410000000001,0.002379,0.005059,BA_k=6
25,0.10204081632653061,0.9937509999999999,0.0027,0.006248999999999999,BA_k=6
26,0.10612244897959185,0.993792,0.00276,0.006208,BA_k=6
