,beta,fracao_suscetiveis,fracao_infectados,fracao_recuperados,rede
0,0.0,0.999,0.001,0.001,BA
1,0.02040816326530612,0.997736,0.001638,0.002264,BA
2,0.04081632653061224,0.980197,0.004882,0.019803,BA
3,0.061224489795918366,0.88812,0.023209,0.11188,BA
4,0.08163265306122448,0.775226,0.056028,0.224774,BA
5,0.1020408163265306,0.666815,0.09510500000000001,0.333185,BA
6,0.12244897959183673,0.5852970000000001,0.133405,0.414703,BA
7,0.14285714285714285,0.493197,0.178917,0.506803,BA
8,0.16326530612244897,0.464092,0.204069,0.535908,BA
9,0.18367346938775508,0.38577999999999996,0.248932,0.61422,BA
10,0.2040816326530612,0.36335,0.27308699999999997,0.6366499999999999,BA
11,0.22448979591836732,0.32296600000000003,0.305128,0.677034,BA
12,0.24489795918367346,0.312145,0.323552,0.687855,BA
13,0.26530612244897955,0.267597,0.35857100000000003,0.732403,BA
14,0.2857142857142857,0.240957,0.384809,0.759043,BA
15,0.3061224489795918,0.24528999999999998,0.394073,0.75471,BA
16,0.32653061224489793,0.22512000000000001,0.416146,0.77488,BA
17,0.3469387755102041,0.205702,0.437973,0.794298,BA
18,0.36734693877551017,0.175407,0.465553,0.8245929999999999,BA
19,0.3877551020408163,0.175101,0.474891,0.824899,BA
20,0.4081632653061224,0.170182,0.487046,0.829818,BA
21,0.42857142857142855,0.166714,0.49888099999999996,0.833286,BA
22,0.44897959183673464,0.13963599999999998,0.524237,0.860364,BA
23,0.4693877551020408,0.13558099999999998,0.5339349999999999,0.8644189999999999,BA
24,0.4897959183673469,0.13836500000000002,0.541366,0.861635,BA
25,0.5102040816326531,0.128804,0.554901,0.8711960000000001,BA
26,0.5306122448979591,0.113094,0.5723550000000001,0.886906,BA
27,0.5510204081632653,0.108563,0.581742,0.891437,BA
28,0.5714285714285714,0.119018,0.581822,0.8809819999999999,BA
29,0.5918367346938775,0.116533,0.589427,0.883467,BA
30,0.6122448979591836,0.10625,0.60357,0.89375,BA
31,0.6326530612244897,0.104948,0.60923,0.8950520000000001,BA
32,0.6530612244897959,0.10068600000000001,0.617636,0.899314,BA
33,0.673469387755102,0.100485,0.623731,0.899515,BA
34,0.6938775510204082,0.074381,0.646889,0.9256190000000001,BA
35,0.7142857142857142,0.08918000000000001,0.64116,0.9108200000000001,BA
36,0.7346938775510203,0.084011,0.650385,0.915989,BA
37,0.7551020408163265,0.069914,0.6643519999999999,0.930086,BA
38,0.7755102040816326,0.07373,0.666516,0.9262699999999999,BA
39,0.7959183673469387,0.077705,0.668746,0.922295,BA
40,0.8163265306122448,0.08662399999999999,0.665697,0.913376,BA
41,0.836734693877551,0.072446,0.681091,0.927554,BA
42,0.8571428571428571,0.067463,0.6876380000000001,0.9325370000000001,BA
43,0.8775510204081632,0.064403,0.694025,0.935597,BA
44,0.8979591836734693,0.074322,0.690655,0.925678,BA
45,0.9183673469387754,0.086229,0.6847759999999999,0.913771,BA
46,0.9387755102040816,0.070263,0.699952,0.9297369999999999,BA
47,0.9591836734693877,0.061253999999999996,0.709893,0.938746,BA
48,0.9795918367346939,0.056185,0.717603,0.9438150000000001,BA
49,1.0,0.061185,0.716802,0.9388150000000001,BA
0,0.0,0.999,0.001,0.001,ER
1,0.02040816326530612,0.9982920000000001,0.001482,0.0017079999999999999,ER
2,0.04081632653061224,0.9957630000000001,0.002307,0.004237,ER
3,0.061224489795918366,0.962784,0.006373,0.037216,ER
4,0.08163265306122448,0.800769,0.029931,0.199231,ER
5,0.1020408163265306,0.642419,0.07277800000000001,0.35758100000000004,ER
6,0.12244897959183673,0.541821,0.116177,0.45817899999999995,ER
7,0.14285714285714285,0.42628699999999997,0.17177099999999998,0.5737129999999999,ER
8,0.16326530612244897,0.356964,0.218067,0.6430359999999999,ER
9,0.18367346938775508,0.32308499999999996,0.25499700000000003,0.6769149999999999,ER
10,0.2040816326530612,0.293594,0.287471,0.706406,ER
11,0.22448979591836732,0.268126,0.320589,0.731874,ER
12,0.24489795918367346,0.236442,0.3523,0.763558,ER
13,0.26530612244897955,0.203851,0.386954,0.796149,ER
14,0.2857142857142857,0.190082,0.41132,0.809918,ER
15,0.3061224489795918,0.17589500000000002,0.433493,0.824105,ER
16,0.32653061224489793,0.178132,0.447898,0.821868,ER
17,0.3469387755102041,0.14688900000000002,0.479948,0.853111,ER
18,0.36734693877551017,0.156868,0.487586,0.843132,ER
19,0.3877551020408163,0.152005,0.50218,0.847995,ER
20,0.4081632653061224,0.14533500000000002,0.517552,0.854665,ER
21,0.42857142857142855,0.12804,0.539333,0.8719600000000001,ER
22,0.44897959183673464,0.118593,0.554704,0.881407,ER
23,0.4693877551020408,0.109431,0.570276,0.8905689999999999,ER
24,0.4897959183673469,0.09812399999999999,0.5859160000000001,0.901876,ER
25,0.5102040816326531,0.10391500000000001,0.5909,0.896085,ER
26,0.5306122448979591,0.096755,0.603355,0.903245,ER
27,0.5510204081632653,0.075658,0.625458,0.924342,ER
28,0.5714285714285714,0.098454,0.61737,0.9015460000000001,ER
29,0.5918367346938775,0.069466,0.643791,0.930534,ER
30,0.6122448979591836,0.0963,0.632103,0.9037000000000001,ER
31,0.6326530612244897,0.067345,0.6592709999999999,0.932655,ER
32,0.6530612244897959,0.07823300000000001,0.6566029999999999,0.921767,ER
33,0.673469387755102,0.0702,0.668813,0.9298,ER
34,0.6938775510204082,0.08115399999999999,0.666655,0.918846,ER
35,0.7142857142857142,0.081099,0.6713579999999999,0.918901,ER
