,beta,fracao_suscetiveis,fracao_infectados,rede
0,0.0,1.0,0.0,BA
1,0.05263157894736842,0.951926,0.048074,BA
2,0.10526315789473684,0.744533,0.255467,BA
3,0.15789473684210525,0.589966,0.410034,BA
4,0.21052631578947367,0.494271,0.505729,BA
5,0.2631578947368421,0.40925,0.59075,BA
6,0.3157894736842105,0.333297,0.6667029999999999,BA
7,0.3684210526315789,0.294408,0.705592,BA
8,0.42105263157894735,0.266974,0.733026,BA
9,0.47368421052631576,0.252743,0.747257,BA
10,0.5263157894736842,0.23157,0.76843,BA
11,0.5789473684210527,0.226226,0.773774,BA
12,0.631578947368421,0.212037,0.787963,BA
13,0.6842105263157894,0.18163900000000002,0.818361,BA
14,0.7368421052631579,0.169897,0.8301029999999999,BA
15,0.7894736842105263,0.14958600000000002,0.850414,BA
16,0.8421052631578947,0.149503,0.850497,BA
17,0.894736842105263,0.130229,0.869771,BA
18,0.9473684210526315,0.127644,0.872356,BA
19,1.0,0.124241,0.8757590000000001,BA
0,0.0,1.0,0.0,ER
1,0.05263157894736842,0.998343,0.001657,ER
2,0.10526315789473684,0.7404270000000001,0.259573,ER
3,0.15789473684210525,0.548766,0.45123399999999997,ER
4,0.21052631578947367,0.45092000000000004,0.54908,ER
5,0.2631578947368421,0.359723,0.6402770000000001,ER
6,0.3157894736842105,0.31161900000000003,0.688381,ER
7,0.3684210526315789,0.261425,0.7385750000000001,ER
8,0.42105263157894735,0.227949,0.772051,ER
9,0.47368421052631576,0.21384299999999998,0.786157,ER
10,0.5263157894736842,0.19922499999999999,0.800775,ER
11,0.5789473684210527,0.187713,0.812287,ER
12,0.631578947368421,0.168322,0.831678,ER
13,0.6842105263157894,0.141766,0.858234,ER
14,0.7368421052631579,0.12962,0.87038,ER
15,0.7894736842105263,0.12868700000000002,0.871313,ER
16,0.8421052631578947,0.122021,0.8779790000000001,ER
17,0.894736842105263,0.11214199999999999,0.8878579999999999,ER
18,0.9473684210526315,0.12032899999999999,0.8796710000000001,ER
19,1.0,0.101422,0.898578,ER
0,0.0,1.0,0.0,WS
1,0.05263157894736842,0.999323,0.0006770000000000001,WS
2,0.10526315789473684,0.751229,0.248771,WS
3,0.15789473684210525,0.5481900000000001,0.45181,WS
4,0.21052631578947367,0.417084,0.5829160000000001,WS
5,0.2631578947368421,0.35748599999999997,0.642514,WS
6,0.3157894736842105,0.299618,0.700382,WS
7,0.3684210526315789,0.263823,0.736177,WS
8,0.42105263157894735,0.218055,0.781945,WS
9,0.47368421052631576,0.192195,0.807805,WS
10,0.5263157894736842,0.180301,0.819699,WS
11,0.5789473684210527,0.163357,0.836643,WS
12,0.631578947368421,0.156949,0.843051,WS
13,0.6842105263157894,0.139304,0.860696,WS
14,0.7368421052631579,0.15287299999999998,0.847127,WS
15,0.7894736842105263,0.11386,0.88614,WS
16,0.8421052631578947,0.11633,0.88367,WS
17,0.894736842105263,0.114873,0.885127,WS
18,0.9473684210526315,0.09630899999999999,0.903691,WS
19,1.0,0.087517,0.9124829999999999,WS
0,0.0,1.0,0.0,BA-NL
1,0.05263157894736842,0.947005,0.052995,BA-NL
2,0.10526315789473684,0.731204,0.268796,BA-NL
3,0.15789473684210525,0.573508,0.42649200000000004,BA-NL
4,0.21052631578947367,0.45828800000000003,0.541712,BA-NL
5,0.2631578947368421,0.402185,0.5978150000000001,BA-NL
6,0.3157894736842105,0.332438,0.667562,BA-NL
7,0.3684210526315789,0.31314,0.68686,BA-NL
8,0.42105263157894735,0.267401,0.732599,BA-NL
9,0.47368421052631576,0.23202799999999998,0.767972,BA-NL
10,0.5263157894736842,0.20757499999999998,0.7924249999999999,BA-NL
11,0.5789473684210527,0.20416499999999999,0.7958350000000001,BA-NL
12,0.631578947368421,0.190739,0.809261,BA-NL
13,0.6842105263157894,0.178151,0.821849,BA-NL
14,0.7368421052631579,0.17229499999999998,0.827705,BA-NL
15,0.7894736842105263,0.15004900000000002,0.849951,BA-NL
16,0.8421052631578947,0.141393,0.858607,BA-NL
17,0.894736842105263,0.131878,0.868122,BA-NL
18,0.9473684210526315,0.115897,0.884103,BA-NL
19,1.0,0.10561,0.89439,BA-NL
