,beta,fracao_suscetiveis,fracao_infectados,fracao_recuperados,rede
0,0.0,0.999,0.001,0.001,BA
1,0.02040816326530612,0.997749,0.001779,0.002251,BA
2,0.04081632653061224,0.967197,0.010172,0.032803,BA
3,0.061224489795918366,0.813678,0.06661199999999999,0.18632200000000002,BA
4,0.08163265306122448,0.638207,0.167723,0.36179300000000003,BA
5,0.1020408163265306,0.49773,0.273031,0.50227,BA
6,0.12244897959183673,0.382287,0.37691800000000003,0.617713,BA
7,0.14285714285714285,0.283086,0.477985,0.7169139999999999,BA
8,0.16326530612244897,0.233924,0.5473060000000001,0.766076,BA
9,0.18367346938775508,0.178487,0.621239,0.821513,BA
10,0.2040816326530612,0.118476,0.698864,0.881524,BA
11,0.22448979591836732,0.093587,0.746283,0.906413,BA
12,0.24489795918367346,0.06894,0.791221,0.93106,BA
13,0.26530612244897955,0.062229,0.817802,0.9377709999999999,BA
14,0.2857142857142857,0.047639,0.849829,0.952361,BA
15,0.3061224489795918,0.035645,0.876467,0.9643550000000001,BA
16,0.32653061224489793,0.029532,0.895812,0.970468,BA
17,0.3469387755102041,0.02348,0.913178,0.9765199999999999,BA
18,0.36734693877551017,0.015220000000000001,0.93067,0.98478,BA
19,0.3877551020408163,0.015426,0.938924,0.984574,BA
20,0.4081632653061224,0.015777,0.9454170000000001,0.984223,BA
21,0.42857142857142855,0.008576,0.959186,0.991424,BA
22,0.44897959183673464,0.005628,0.9666549999999999,0.9943719999999999,BA
23,0.4693877551020408,0.003919,0.972672,0.996081,BA
24,0.4897959183673469,0.004344000000000001,0.9758920000000001,0.995656,BA
25,0.5102040816326531,0.002805,0.9803569999999999,0.997195,BA
26,0.5306122448979591,0.002412,0.983402,0.9975879999999999,BA
27,0.5510204081632653,0.003235,0.984514,0.996765,BA
28,0.5714285714285714,0.000916,0.988958,0.999084,BA
29,0.5918367346938775,0.0016899999999999999,0.989657,0.9983099999999999,BA
30,0.6122448979591836,0.002581,0.9902960000000001,0.997419,BA
31,0.6326530612244897,0.002511,0.991422,0.9974890000000001,BA
32,0.6530612244897959,0.000391,0.9942219999999999,0.9996090000000001,BA
33,0.673469387755102,0.000326,0.995149,0.999674,BA
